geocodigo,nome_mesorregiao,nome_microrregiao,NM_MUNICIPIO
3546504,Ribeirão Preto,Jaboticabal,SANTA ERNESTINA
3546603,São José do Rio Preto,Jales,SANTA FÉ DO SUL
3546702,Piracicaba,Limeira,SANTA GERTRUDES
3546801,Metropolitana de São Paulo,Guarulhos,SANTA ISABEL
3546900,Araraquara,Araraquara,SANTA LÚCIA
3547007,Piracicaba,Piracicaba,SANTA MARIA DA SERRA
3547106,Presidente Prudente,Dracena,SANTA MERCEDES
3547403,São José do Rio Preto,Jales,SANTA RITA D OESTE
3547502,Ribeirão Preto,Ribeirão Preto,SANTA RITA DO PASSA QUATRO
3547601,Ribeirão Preto,Ribeirão Preto,SANTA ROSA DE VITERBO
3547650,São José do Rio Preto,Jales,SANTA SALETE
3547205,São José do Rio Preto,Jales,SANTANA DA PONTE PENSA
3547304,Metropolitana de São Paulo,Osasco,SANTANA DE PARNAÍBA
3547700,Presidente Prudente,Presidente Prudente,SANTO ANASTÁCIO
3547809,Metropolitana de São Paulo,São Paulo,SANTO ANDRÉ
3547908,Ribeirão Preto,Batatais,SANTO ANTÔNIO DA ALEGRIA
3548005,Campinas,Mogi Mirim,SANTO ANTÔNIO DE POSSE
3548054,Araçatuba,Araçatuba,SANTO ANTÔNIO DO ARACANGUÁ
3548104,Campinas,São João da Boa Vista,SANTO ANTÔNIO DO JARDIM
3548203,Vale do Paraíba Paulista,Campos do Jordão,SANTO ANTÔNIO DO PINHAL
3548302,Presidente Prudente,Presidente Prudente,SANTO EXPEDITO
3548500,Metropolitana de São Paulo,Santos,SANTOS
3548401,Araçatuba,Birigui,SANTÓPOLIS DO AGUAPEÍ
3551108,Macro Metropolitana Paulista,Sorocaba,SARAPUÍ
3551207,Assis,Ourinhos,SARUTAIÁ
3551306,São José do Rio Preto,Nhandeara,SEBASTIANÓPOLIS DO SUL
3551405,Ribeirão Preto,Ribeirão Preto,SERRA AZUL
3551603,Campinas,Amparo,SERRA NEGRA
3551504,Ribeirão Preto,Ribeirão Preto,SERRANA
3551702,Ribeirão Preto,Ribeirão Preto,SERTÃOZINHO
3551801,Litoral Sul Paulista,Registro,SETE BARRAS
3551900,São José do Rio Preto,Catanduva,SEVERÍNIA
3552007,Vale do Paraíba Paulista,Bananal,SILVEIRAS
3552106,Campinas,Amparo,SOCORRO
3552205,Macro Metropolitana Paulista,Sorocaba,SOROCABA
3552304,Araçatuba,Andradina,SUD MENNUCCI
3552403,Campinas,Campinas,SUMARÉ
3552502,Metropolitana de São Paulo,Mogi das Cruzes,SUZANO
3552551,Araçatuba,Andradina,SUZANÁPOLIS
3548609,Vale do Paraíba Paulista,Campos do Jordão,SÃO BENTO DO SAPUCAÍ
3548708,Metropolitana de São Paulo,São Paulo,SÃO BERNARDO DO CAMPO
3548807,Metropolitana de São Paulo,São Paulo,SÃO CAETANO DO SUL
3548906,Araraquara,São Carlos,SÃO CARLOS
3549003,São José do Rio Preto,Jales,SÃO FRANCISCO
3549409,Ribeirão Preto,São Joaquim da Barra,SÃO JOAQUIM DA BARRA
3549508,Ribeirão Preto,Franca,SÃO JOSÉ DA BELA VISTA
3549607,Vale do Paraíba Paulista,Bananal,SÃO JOSÉ DO BARREIRO
3549706,Campinas,São João da Boa Vista,SÃO JOSÉ DO RIO PARDO
3549805,São José do Rio Preto,São José do Rio Preto,SÃO JOSÉ DO RIO PRETO
3549904,Vale do Paraíba Paulista,São José dos Campos,SÃO JOSÉ DOS CAMPOS
3549102,Campinas,São João da Boa Vista,SÃO JOÃO DA BOA VISTA
3549201,São José do Rio Preto,Fernandópolis,SÃO JOÃO DAS DUAS PONTES
3549250,São José do Rio Preto,Auriflama,SÃO JOÃO DE IRACEMA
3549300,Presidente Prudente,Dracena,SÃO JOÃO DO PAU D ALHO
3549953,Metropolitana de São Paulo,Itapecerica da Serra,SÃO LOURENÇO DA SERRA
3550001,Vale do Paraíba Paulista,Paraibuna/Paraitinga,SÃO LUÍS DO PARAITINGA
3550100,Bauru,Botucatu,SÃO MANUEL
3550209,Macro Metropolitana Paulista,Piedade,SÃO MIGUEL ARCANJO
3550308,Metropolitana de São Paulo,São Paulo,SÃO PAULO
3550407,Piracicaba,Piracicaba,SÃO PEDRO
3550506,Assis,Ourinhos,SÃO PEDRO DO TURVO
3550605,Macro Metropolitana Paulista,Sorocaba,SÃO ROQUE
3550704,Vale do Paraíba Paulista,Caraguatatuba,SÃO SEBASTIÃO
3550803,Campinas,São João da Boa Vista,SÃO SEBASTIÃO DA GRAMA
3550902,Ribeirão Preto,Ribeirão Preto,SÃO SIMÃO
3551009,Metropolitana de São Paulo,Santos,SÃO VICENTE
3552601,São José do Rio Preto,Catanduva,TABAPUÃ
3552700,Araraquara,Araraquara,TABATINGA
3552809,Metropolitana de São Paulo,Itapecerica da Serra,TABOÃO DA SERRA
3552908,Presidente Prudente,Presidente Prudente,TACIBA
3553005,Assis,Ourinhos,TAGUAÍ
3553104,Ribeirão Preto,Jaboticabal,TAIAÇU
3553203,Ribeirão Preto,Jaboticabal,TAIÚVA
3553302,Campinas,São João da Boa Vista,TAMBAÚ
3553401,São José do Rio Preto,São José do Rio Preto,TANABI
3553609,Campinas,São João da Boa Vista,TAPIRATIBA
3553500,Macro Metropolitana Paulista,Piedade,TAPIRAÍ
3553658,Ribeirão Preto,Jaboticabal,TAQUARAL
3553708,Ribeirão Preto,Jaboticabal,TAQUARITINGA
3553807,Itapetininga,Itapeva,TAQUARITUBA
3553856,Itapetininga,Itapeva,TAQUARIVAÍ
3553906,Presidente Prudente,Presidente Prudente,TARABAI
3553955,Assis,Assis,TARUMÃ
3554003,Itapetininga,Tatuí,TATUÍ
3554102,Vale do Paraíba Paulista,São José dos Campos,TAUBATÉ
3554201,Assis,Ourinhos,TEJUPÁ
3554300,Presidente Prudente,Presidente Prudente,TEODORO SAMPAIO
3554409,Ribeirão Preto,Jaboticabal,TERRA ROXA
3554508,Piracicaba,Piracicaba,TIETÊ
3554607,Assis,Ourinhos,TIMBURI
3554656,Itapetininga,Tatuí,TORRE DE PEDRA
3554706,Piracicaba,Rio Claro,TORRINHA
3554755,Araraquara,Araraquara,TRABIJU
3554805,Vale do Paraíba Paulista,São José dos Campos,TREMEMBÉ
3554904,São José do Rio Preto,Jales,TRÊS FRONTEIRAS
3554953,Macro Metropolitana Paulista,Bragança Paulista,TUIUTI
3555109,Presidente Prudente,Dracena,TUPI PAULISTA
3555000,Marília,Tupã,TUPÃ
3555208,Araçatuba,Birigui,TURIÚBA
3555307,São José do Rio Preto,Fernandópolis,TURMALINA
3555356,São José do Rio Preto,São José do Rio Preto,UBARANA
3555406,Vale do Paraíba Paulista,Caraguatatuba,UBATUBA
3555505,Bauru,Bauru,UBIRAJARA
3555604,São José do Rio Preto,São José do Rio Preto,UCHOA
3555703,São José do Rio Preto,Nhandeara,UNIÃO PAULISTA
3555901,Bauru,Bauru,URU
3556008,São José do Rio Preto,Novo Horizonte,URUPÊS
3555802,São José do Rio Preto,Jales,URÂNIA
3556107,São José do Rio Preto,Votuporanga,VALENTIM GENTIL
3556206,Campinas,Campinas,VALINHOS
3556305,Araçatuba,Araçatuba,VALPARAÍSO
3556354,Macro Metropolitana Paulista,Bragança Paulista,VARGEM
3556453,Metropolitana de São Paulo,Itapecerica da Serra,VARGEM GRANDE PAULISTA
3556404,Campinas,São João da Boa Vista,VARGEM GRANDE DO SUL
3556602,Marília,Marília,VERA CRUZ
3556701,Campinas,Campinas,VINHEDO
3556800,Ribeirão Preto,Jaboticabal,VIRADOURO
3556909,Ribeirão Preto,Jaboticabal,VISTA ALEGRE DO ALTO
3556958,São José do Rio Preto,Jales,VITÓRIA BRASIL
3557006,Macro Metropolitana Paulista,Sorocaba,VOTORANTIM
3557105,São José do Rio Preto,Votuporanga,VOTUPORANGA
3556503,Macro Metropolitana Paulista,Jundiaí,VÁRZEA PAULISTA
3557154,São José do Rio Preto,São José do Rio Preto,ZACARIAS
3500402,Campinas,São João da Boa Vista,ÁGUAS DA PRATA
3500501,Campinas,Amparo,ÁGUAS DE LINDÓIA
3500550,Bauru,Avaré,ÁGUAS DE SANTA BÁRBARA
3500600,Piracicaba,Piracicaba,ÁGUAS DE SÃO PEDRO
3501202,São José do Rio Preto,Votuporanga,ÁLVARES FLORENCE
3501301,Presidente Prudente,Presidente Prudente,ÁLVARES MACHADO
3501400,Marília,Marília,ÁLVARO DE CARVALHO
3533809,Assis,Ourinhos,ÓLEO
